Make,Model,Year,Powertrain_Ref
Holden,WM Caprice,2010,pt-chevrolet-l76-6.0
Holden,VZ Ute,2006,pt-chevrolet-l98-6.0
Holden,VZ Ute,2007,pt-chevrolet-l98-6.0
Holden,VE Commodore,2006,pt-chevrolet-l98-6.0
Holden,VE Commodore,2007,pt-chevrolet-l98-6.0
Holden,VE Commodore,2008,pt-chevrolet-l98-6.0
Holden,VE Commodore,2009,pt-chevrolet-l98-6.0
Holden,VE Commodore,2010,pt-chevrolet-l98-6.0
Holden,VE Calais,2006,pt-chevrolet-l98-6.0
Holden,VE Calais,2007,pt-chevrolet-l98-6.0
Holden,VE Calais,2008,pt-chevrolet-l98-6.0
Holden,VE Calais,2009,pt-chevrolet-l98-6.0
Holden,VE Ute,2006,pt-chevrolet-l98-6.0
Holden,VE Ute,2007,pt-chevrolet-l98-6.0
Holden,VE Ute,2008,pt-chevrolet-l98-6.0
Holden,VE Ute,2009,pt-chevrolet-l98-6.0
Holden,VE Ute,2010,pt-chevrolet-l98-6.0
Holden,WM Statesman,2006,pt-chevrolet-l98-6.0
Holden,WM Statesman,2007,pt-chevrolet-l98-6.0
Holden,WM Statesman,2008,pt-chevrolet-l98-6.0
Holden,VE Commodore,2010,pt-chevrolet-l77-6.0-manual
Holden,VE Commodore,2011,pt-chevrolet-l77-6.0-manual
Holden,VE Commodore,2012,pt-chevrolet-l77-6.0-manual
Holden,VE Commodore,2013,pt-chevrolet-l77-6.0-manual
Holden,VF Commodore,2013,pt-chevrolet-l77-6.0-manual
Holden,VF Commodore,2014,pt-chevrolet-l77-6.0-manual
Holden,VF Commodore,2015,pt-chevrolet-l77-6.0-manual
Holden,VE Ute,2010,pt-chevrolet-l77-6.0-manual
Holden,VE Ute,2011,pt-chevrolet-l77-6.0-manual
Holden,VE Ute,2012,pt-chevrolet-l77-6.0-manual
Holden,VE Ute,2013,pt-chevrolet-l77-6.0-manual
Holden,VF Ute,2013,pt-chevrolet-l77-6.0-manual
Holden,VF Ute,2014,pt-chevrolet-l77-6.0-manual
Holden,VF Ute,2015,pt-chevrolet-l77-6.0-manual
Holden,VE Commodore,2010,pt-chevrolet-l77-6.0-auto
Holden,VE Commodore,2011,pt-chevrolet-l77-6.0-auto
Holden,VE Commodore,2012,pt-chevrolet-l77-6.0-auto
Holden,VE Commodore,2013,pt-chevrolet-l77-6.0-auto
Holden,VF Commodore,2013,pt-chevrolet-l77-6.0-auto
Holden,VF Commodore,2014,pt-chevrolet-l77-6.0-auto
Holden,VF Commodore,2015,pt-chevrolet-l77-6.0-auto
Holden,WM Caprice,2010,pt-chevrolet-l77-6.0-auto
Holden,WM Caprice,2011,pt-chevrolet-l77-6.0-auto
Holden,WM Caprice,2012,pt-chevrolet-l77-6.0-auto
Holden,WM Caprice,2013,pt-chevrolet-l77-6.0-auto
Holden,WN Caprice,2013,pt-chevrolet-l77-6.0-auto
Holden,WN Caprice,2014,pt-chevrolet-l77-6.0-auto
Holden,WN Caprice,2015,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2011,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2012,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2013,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2014,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2015,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2016,pt-chevrolet-l77-6.0-auto
Chevrolet,Caprice Police Vehicle,2017,pt-chevrolet-l77-6.0-auto
